id,label,suffix,title,color,value,conv,min,max,step,equn,prefix
DryHouse,Dry H,kg,DryHouse 'Dry weight in house',pink,75,1,50,100,1,,
VSHouse,VS H,kg,VSHouse 'Volatile solids in house',pink,60,1,25,100,1,,
TNHouse,TN H,kg,TNHouse 'Total Nitrogen in house',blue,6,1,0.1,15,0.1,,
CH4House,CH4 H,kg,CH4House = HCH4Fac*VSHouse,blue,0.6,1,,,,{HCH4Fac}*{VSHouse},
CO2House,CO2 H,kg,CO2House = HCO2Fac*CH4House,blue,1.098,1,,,,{HCO2Fac}*{CH4House},
NH3House,N H,kg,NH3House 'NH3 from house' = HNFac*TNHouse,salmon,0.72,1,,,,{HNFac}*{TNHouse},
N2OHouse,N2O H,kg,N2OHouse = 0.0015*TNHouse,blue,0.009,1,,,,0.0015*{TNHouse},
NOHouse,NO H,kg,NOHouse = 3.3e-5*TNHouse,blue,0.000198,1,,,,3.3e-5*{TNHouse},
NHouse,N H,kg,NHouse = 0.002*TNHouse,blue,0.012,1,,,,0.002*{TNHouse},
DryStore,Dry S,kg,DryStore = DryHouse-VSLossH,blue,72.560802,1,,,,{DryHouse}-{VSLossH},
VSStore,VS S,kg,VSStore = VSHouse-VSLossH,blue,57.560802,1,,,,{VSHouse}-{VSLossH},
TNStore,TN S,kg,TNStore = TNHouse-NH3House-N2OHouse-NOHouse-NHouse,blue,5.258802,1,,,,{TNHouse}-{NH3House}-{N2OHouse}-{NOHouse}-{NHouse},
CH4Store,CH4 S,kg,CH4Store = SCH4Fac*VSStore,blue,1.784384862,1,,,,{SCH4Fac}*{VSStore},
CO2Store,CO2 S,kg,CO2Store = SCO2Fac*CH4Store,blue,3.2654242975,1,,,,{SCO2Fac}*{CH4Store},
NH3Store,N S,kg,NH3Store 'NH3 from store' = SNFac*TNStore,salmon,0.099917238,1,,,,{SNFac}*{TNStore},
N2OStore,N2O S,kg,N2OStore = 0.004*TNStore,blue,0.021035208,1,,,,0.004*{TNStore},
NOStore,NO S,kg,NOStore = 3.5e-5*TNStore,blue,0.0001840581,1,,,,3.5e-5*{TNStore},
NStore,N S,kg,NStore = 0.0023*TNStore,blue,0.0120952446,1,,,,0.0023*{TNStore},
DryLand,Dry L,kg,DryLand = DryStore-VSLossS,blue,67.3777610919,1,,,,{DryStore}-{VSLossS},
VSLand,VS L,kg,VSLand = VSStore-VSLossS,blue,52.3777610919,1,,,,{VSStore}-{VSLossS},
TNLand,TN L,kg,TNLand = TNStore-NH3Store-N2OStore-NOStore-NStore,blue,5.1255702513,1,,,,{TNStore}-{NH3Store}-{N2OStore}-{NOStore}-{NStore},
NH3Land,N L,kg,NH3Land 'NH3 from land' = LNFac*TNLand,salmon,0.6304451409,1,,,,{LNFac}*{TNLand},
N2OLand,N2O L,kg,N2OLand = 0.01*TNLand,blue,0.0512557025,1,,,,0.01*{TNLand},
NOLand,NO L,kg,NOLand = 0.001*TNLand,blue,0.0051255703,1,,,,0.001*{TNLand},
NLeach,N leach,kg/t,NLeach 'Eutrophication kg/t' = 0.45*(TNLand-NH3Land-N2OLand-NOLand),yellow,1.9974347269,1,,,,0.45*({TNLand}-{NH3Land}-{N2OLand}-{NOLand}),
EHouse,E,kWh/t,EHouse 'Electricity use in house',pink,14.1,1,0,20,0.1,,
HHouse,H ,MJ/t,HHouse 'Heating use in house',pink,137,1,0,250,1,,
HNFac,HNF,,HNFac 'Nitrogen factor in house',pink,0.12,1,0.09,0.18,0.01,,
HCH4Fac,HCH4F,,HCH4Fac 'CH4 factor in house',pink,0.01,1,0.001,0.05,0.001,,
HCO2Fac,HCO2F,,HCO2Fac 'CO2 factor in house',pink,1.83,1,1,3,0.01,,
SNFac,SNF,,SNFac 'Nitrogen factor in storage',pink,0.019,1,0.008,0.11,0.01,,
SCH4Fac,SCH4F,,SCH4Fac 'CH4 factor in storage',pink,0.031,1,0.02,0.04,0.001,,
SCO2Fac,SCO2F,,SCO2Fac 'CO2 factor in storage',pink,1.83,1,1,3,0.01,,
LNFac,LNF,,LNFac 'Nitrogen factor on land',pink,0.123,1,0.006,0.195,0.001,,
ECO2,E CO2,kg/t,ECO2 'CO2 from electricity' = EHouse*0.9477+EHouse*0.0044*23+EHouse*4e-5*296,green,14.956434,1,,,,{EHouse}*0.9477+{EHouse}*0.0044*23+{EHouse}*4e-5*296,
HCO2,H CO2,kg/t,HCO2 'CO2 from heating' = HHouse*0.0628+HHouse*1.58e-4*23+HHouse*6.19e-7*296,green,9.126559688,1,,,,{HHouse}*0.0628+{HHouse}*1.58e-4*23+{HHouse}*6.19e-7*296,
VSLossH,VS-H loss,kg/t,VSLossH 'VS loss from house' = CH4House+CO2House+NH3House+N2OHouse+NOHouse+NHouse,blue,2.439198,1,,,,{CH4House}+{CO2House}+{NH3House}+{N2OHouse}+{NOHouse}+{NHouse},
VSLossS,VS-S loss,kg/t,VSLossS 'VS loss from store' = CH4Store+CO2Store+NH3Store+N2OStore+NOStore+NStore,blue,5.1830409081,1,,,,{CH4Store}+{CO2Store}+{NH3Store}+{N2OStore}+{NOStore}+{NStore},
CO2TotH,CO2 H,kg/t,CO2TotH 'CO2 from in house' = CH4House*23+N2OHouse*44/28+0.01*(NH3House+NOHouse)*44/28*296,green,17.1640924114,1,,,,{CH4House}*23+{N2OHouse}*44/28+0.01*({NH3House}+{NOHouse})*44/28*296,
CO2TotS,CO2 S,kg/t,CO2TotS 'CO2 from storage' = CH4Store*23+N2OStore*44/28+0.01*(NH3Store+NOStore)*44/28*296,green,41.5395211814,1,,,,{CH4Store}*23+{N2OStore}*44/28+0.01*({NH3Store}+{NOStore})*44/28*296,
CO2TotL,CO2 L,kg/t,CO2TotL 'CO2 from land' = N2OLand*44/28+(0.01*(NH3Land+NOLand)+0.0075*NLeach)*44/28*296,green,10.0050501593,1,,,,{N2OLand}*44/28+(0.01*({NH3Land}+{NOLand})+0.0075*{NLeach})*44/28*296,
CO2Tot,CO2,kg/t,CO2Tot 'CO2 total' = ECO2+HCO2+CO2TotH+CO2TotS+CO2TotL,yellow,92.7916574402,1,,,,{ECO2}+{HCO2}+{CO2TotH}+{CO2TotS}+{CO2TotL},
TNTot,N total,kg/t,TNTot 'N total' = NH3House+NH3Store+NH3Land,yellow,1.4503623789,1,,,,{NH3House}+{NH3Store}+{NH3Land},
