id,label,suffix,title,color,value,conv,min,max,step,equn,prefix
HPT,P-Waste,kt,HPT 'Household plastic waste',pink,500000,0.001,300,1000,1,,
PETB,% PET bottles,%,PETB 'Percent PET bottles',pink,0.45,100,20,40,1,,
PEB,% PE bottles,%,PEB 'Percent PE bottles',pink,0.3,100,10,40,1,,
Solid,% other solid,%,Solid '% solid not PET/PE bottles',pink,0.2,100,,,,,
Film,% film,%,Film '% film waste' = 1-PETB-PEB-Solid,blue,0.05,100,,,,1-{PETB}-{PEB}-{Solid},
TPakT,TPak Waste,kt,TPakT 'Household Tetrapak waste',pink,100000,0.001,50,200,1,,
TPC,% TPak collection,%,TPC '% Tetrapak cartons collected',pink,0.4,100,10,80,1,,
PETR,% PET to PET,%,PETR '% PET recycled to bottles',pink,0.3,100,0,90,1,,
PER,% PE to PE,%,PER '% PE recycled to bottles',pink,0.3,100,0,90,1,,
SE,% Sort Efficiency,%,SE 'How good is the sorting?',pink,0.4,100,10,90,1,,
PTR,% Thermal,%,PTR '% Thermally recycled',pink,0.4,100,0,90,1,,
PCO2TR,% CO2 TR,%,PCO2TR '% CO2 saved by thermal recycling',pink,0.9,100,0,90,1,,
PCO2BR,% CO2 BR,%,PCO2BR '% CO2 saved by bottle recycling',pink,0.5,100,0,90,1,,
PCO2TP,% CO2 TP,%,PCO2TP '% CO2 saved by TPak recycling',pink,0.5,100,0,90,1,,
PETT,PET,kt,PETT 'kt of PET bottles' = HPT*PETB,blue,225000,0.001,,,,{HPT}*{PETB},
PET,PE,kt,PET 'kt of PE bottles' = HPT*PEB,blue,150000,0.001,,,,{HPT}*{PEB},
SolidT,Solid,kt,SolidT 'kt of solid packaging' = HPT*Solid,blue,100000,0.001,,,,{HPT}*{Solid},
FilmT,Film,kt,FilmT 'kt of film packaging' = HPT*Film,blue,25000,0.001,,,,{HPT}*{Film},
TotCO2,Total CO2 potential,kt,TotCO2 'kt CO2 from all packaging' = 3*(HPT+TPakT),yellow,1800000,0.001,,,,3*({HPT}+{TPakT}),
PETRT,PET recycled,kt,PETRT 'kt of PET recycled' = PETT*PETR*SE,salmon,27000,0.001,,,,{PETT}*{PETR}*{SE},
PERT,PE recycled,kt,PERT 'kt of PE recycled' = PET*PER*SE,salmon,18000,0.001,,,,{PET}*{PER}*{SE},
TPRT,TPak recycled,kt,TPRT 'kt of TPak recycled' = TPakT*TPC*SE,salmon,16000,0.001,,,,{TPakT}*{TPC}*{SE},
TPCO2,TPak CO2,kt,TPCO2 'kt of CO2 from TPak' = 3*TPRT*(1-PCO2TP),salmon,24000,0.001,,,,3*{TPRT}*(1-{PCO2TP}),
OtherT,Other,kt,OtherT 'kt of other waste' = HPT-(PETRT+PERT+TPRT),salmon,439000,0.001,,,,{HPT}-({PETRT}+{PERT}+{TPRT}),
TRCO2,Thermal,kt,TRCO2 'kt of CO2 from Thermal' = 3*OtherT*PTR*(1-PCO2TR),salmon,52680,0.001,,,,3*{OtherT}*{PTR}*(1-{PCO2TR}),
BotCO2,CO2 bottle recycle,kt,BotCO2 'kt of CO2 from bottle recycling' = 3*(1-PCO2BR)*(PETRT+PERT),salmon,67500,0.001,,,,3*(1-{PCO2BR})*({PETRT}+{PERT}),
Landfill,Landfill,kt,Landfill 'kt to landfill' = OtherT*(1-PTR),salmon,263400,0.001,,,,{OtherT}*(1-{PTR}),
LCO2,Landfill CO2,kt,LCO2 'kt of CO2 as a landfill penalty' = 3*Landfill,salmon,790200,0.001,,,,3*{Landfill},
TCO2,Total CO2,kt,TCO2 'kt of CO2 in your scenario' = TRCO2+LCO2+BotCO2+TPCO2,yellow,934380,0.001,,,,{TRCO2}+{LCO2}+{BotCO2}+{TPCO2},
